Age,Annual_Income,Employment_Years,Loan_Amount,Credit_Utilization,Number_of_Credit_Cards,Number_of_Late_Payments,Debt_to_Income_Ratio,Number_of_Open_Accounts,Has_Mortgage,Has_Dependents,Credit_Score,Default_Probability,Loan_Status
65,62035.73,15,16513.97,0.412,2,2,0.266,5,1,1,633.0,0.335,Paid
52,56812.72,19,26232.51,0.563,7,1,0.462,14,1,1,622.0,0.396,Paid
54,41714.39,22,1000.0,0.614,7,3,0.024,5,1,1,620.0,0.379,Paid
65,84721.84,22,9461.07,0.926,2,1,0.112,8,0,0,564.0,0.43,Paid
39,34220.91,31,7952.26,0.659,6,0,0.232,1,1,0,698.0,0.291,Paid
58,57842.7,37,23453.34,0.172,5,0,0.405,1,1,1,816.0,0.136,Paid
36,63636.53,2,6240.22,0.592,4,3,0.098,1,0,1,557.0,0.432,Paid
22,66179.45,7,7954.04,0.666,8,0,0.12,12,1,1,680.0,0.308,Paid
60,82613.46,37,10505.83,0.059,8,0,0.127,7,0,1,850.0,0.01,Paid
37,55199.27,39,6754.91,0.12,5,0,0.122,14,1,1,850.0,0.027,Paid
54,15000.0,13,25694.25,0.068,4,2,1.5,4,0,1,496.0,0.571,Default
62,52264.46,7,10339.38,0.095,9,2,0.198,11,1,0,761.0,0.203,Paid
36,74513.27,10,20481.25,0.133,5,3,0.275,7,0,0,680.0,0.286,Paid
58,57116.99,32,9784.44,0.941,4,2,0.171,10,1,0,538.0,0.484,Default
22,57265.02,14,14912.99,0.242,2,0,0.26,12,0,0,763.0,0.167,Paid
22,70524.27,36,13148.33,0.24,6,0,0.186,5,0,1,843.0,0.1,Paid
46,73160.87,13,1000.0,0.847,5,1,0.014,12,0,0,604.0,0.387,Paid
33,24272.26,25,3224.4,0.75,6,1,0.133,7,0,0,638.0,0.36,Paid
67,59626.32,7,2591.9,0.679,1,1,0.043,5,0,0,617.0,0.34,Paid
51,56095.72,3,25921.34,0.442,6,2,0.462,13,0,0,581.0,0.43,Paid
54,61502.39,35,27880.62,0.079,5,3,0.453,4,1,1,711.0,0.268,Paid
59,20604.88,17,10073.73,0.819,7,4,0.489,7,0,0,416.0,0.66,Default
23,86461.71,26,19479.37,0.851,1,3,0.225,6,1,0,487.0,0.526,Default
28,60134.48,18,8029.55,0.498,3,2,0.134,4,0,0,645.0,0.323,Paid
43,68499.85,2,17851.26,0.65,2,0,0.261,1,0,1,617.0,0.354,Paid
34,95319.68,8,11455.79,0.494,6,0,0.12,7,0,0,724.0,0.238,Paid
47,68693.06,38,9854.23,0.325,1,4,0.143,8,0,1,645.0,0.317,Paid
49,29201.86,1,21015.84,0.552,3,1,0.72,5,0,0,517.0,0.505,Default
59,58271.13,8,18215.29,0.69,4,1,0.313,11,1,0,576.0,0.424,Paid
59,73497.76,5,7503.75,0.194,6,0,0.102,10,1,0,811.0,0.118,Paid
21,61132.57,37,32153.19,0.544,5,1,0.526,12,1,0,641.0,0.371,Paid
37,94136.43,27,33448.83,0.772,5,2,0.355,9,0,0,546.0,0.481,Default
61,42880.76,33,16187.01,0.492,5,2,0.377,8,1,0,638.0,0.364,Paid
50,84902.45,28,21067.05,0.196,1,2,0.248,2,0,0,723.0,0.217,Paid
33,76781.35,2,38323.54,0.859,8,1,0.499,11,0,1,497.0,0.559,Default
41,61775.33,15,21031.69,0.677,2,2,0.34,7,0,1,539.0,0.463,Default
39,66626.59,34,1426.35,0.638,6,1,0.021,8,1,1,712.0,0.264,Paid
39,40446.23,10,15431.21,0.656,7,2,0.382,4,1,1,552.0,0.477,Default
45,53854.87,22,11543.82,0.278,4,1,0.214,1,1,0,748.0,0.201,Paid
42,71542.35,29,10572.62,0.508,8,0,0.148,1,0,1,766.0,0.209,Paid
51,57017.66,4,19434.24,0.353,1,1,0.341,12,1,0,649.0,0.306,Paid
37,61204.77,7,10188.16,0.825,9,2,0.166,5,1,1,548.0,0.486,Default
43,79848.87,9,23346.97,0.598,4,1,0.292,8,0,1,610.0,0.379,Paid
52,21855.12,27,8745.37,0.717,9,0,0.4,4,1,1,654.0,0.373,Paid
30,67387.7,35,4016.85,0.664,2,1,0.06,1,0,0,679.0,0.284,Paid
30,95530.77,9,27681.23,0.5,8,1,0.29,14,0,0,660.0,0.339,Paid
56,52462.67,13,12283.72,0.799,5,2,0.234,3,1,0,535.0,0.484,Default
28,35114.42,37,22973.11,0.622,7,2,0.654,11,0,0,561.0,0.491,Default
40,52218.13,36,5584.54,0.261,5,2,0.107,3,0,0,767.0,0.184,Paid
52,29658.35,4,13170.75,0.32,6,2,0.444,9,1,0,623.0,0.373,Paid
34,64513.7,5,21517.52,0.819,7,1,0.334,4,0,0,543.0,0.488,Default
48,58526.12,29,7252.85,0.925,9,0,0.124,4,0,0,651.0,0.369,Paid
66,66374.64,18,19600.95,0.56,6,0,0.295,4,1,0,689.0,0.296,Paid
44,57375.29,13,26948.97,0.409,1,0,0.47,13,0,0,664.0,0.298,Paid
35,63917.9,10,18564.85,0.631,1,1,0.29,5,0,1,588.0,0.39,Paid
42,69009.68,4,9617.97,0.5,1,1,0.139,7,0,1,645.0,0.304,Paid
50,36047.05,30,8804.74,0.833,5,2,0.244,4,0,1,556.0,0.466,Default
24,66921.7,31,7423.87,0.825,6,0,0.111,7,1,1,672.0,0.321,Paid
33,88964.14,23,6208.31,0.474,6,2,0.07,13,1,1,690.0,0.285,Paid
43,40765.55,9,23288.33,0.798,9,1,0.571,5,0,1,519.0,0.543,Default
28,66166.53,12,5680.83,0.229,1,3,0.086,4,1,1,673.0,0.264,Paid
38,85893.98,12,12063.98,0.398,3,2,0.14,8,0,0,662.0,0.297,Paid
32,36899.09,35,16769.39,0.124,4,1,0.454,12,0,0,772.0,0.186,Paid
51,75957.09,21,11277.82,0.801,9,1,0.148,8,0,0,627.0,0.393,Paid
34,55559.52,8,8143.93,0.957,1,1,0.147,9,0,0,515.0,0.481,Default
54,80226.76,18,26948.77,0.586,8,2,0.336,12,0,1,603.0,0.419,Paid
38,43510.86,6,8874.63,0.763,3,2,0.204,14,1,1,527.0,0.474,Default
54,59818.9,14,16775.55,0.423,8,0,0.28,4,0,0,735.0,0.246,Paid
31,29630.22,16,9814.07,0.572,2,0,0.331,4,1,0,654.0,0.316,Paid
61,68745.78,13,9243.15,0.373,6,0,0.134,7,1,1,767.0,0.184,Paid
32,68974.73,1,1703.14,0.698,2,1,0.025,6,1,0,608.0,0.355,Paid
69,70816.05,13,15156.55,0.279,7,3,0.214,4,0,0,664.0,0.32,Paid
35,69831.99,3,2047.1,0.193,6,0,0.029,14,1,1,822.0,0.1,Paid
51,58178.49,2,17891.23,0.886,7,0,0.308,2,0,0,562.0,0.463,Default
69,30447.41,2,12057.2,0.854,9,3,0.396,2,1,0,444.0,0.626,Default
49,79841.56,10,5427.33,0.827,9,2,0.068,11,1,1,573.0,0.451,Default
46,59231.31,4,3638.41,0.814,6,1,0.061,4,1,0,592.0,0.406,Paid
38,67869.68,28,1000.0,0.728,8,3,0.015,13,1,1,605.0,0.41,Paid
52,56295.69,27,21532.84,0.864,6,1,0.382,6,0,0,558.0,0.476,Default
42,99175.21,22,14462.56,0.245,2,1,0.146,6,1,0,761.0,0.168,Paid
58,48647.03,29,16573.81,0.859,5,1,0.341,10,1,1,567.0,0.458,Default
37,47877.79,22,19963.38,0.904,5,1,0.417,6,0,0,525.0,0.513,Default
43,28767.12,21,30812.02,0.716,4,3,1.071,10,1,0,363.0,0.736,Default
44,62258.27,11,5421.67,0.607,9,2,0.087,1,0,0,637.0,0.367,Paid
28,97168.14,26,8791.52,0.27,2,3,0.09,5,1,1,693.0,0.253,Paid
61,62500.75,39,20273.75,0.856,7,0,0.324,14,0,0,641.0,0.382,Paid
26,64542.31,14,22353.59,0.586,6,1,0.346,5,0,0,623.0,0.38,Paid
25,79464.28,22,15611.76,0.618,3,1,0.196,10,1,1,644.0,0.332,Paid
64,63241.93,18,1000.0,0.614,7,3,0.016,14,0,0,614.0,0.384,Paid
49,83985.79,10,1000.0,0.856,8,2,0.012,7,0,0,571.0,0.446,Paid
48,86954.85,37,14217.11,0.177,4,3,0.163,8,0,0,738.0,0.216,Paid
31,48140.16,39,25849.1,0.107,8,1,0.537,8,1,1,788.0,0.196,Paid
21,31391.4,2,29362.68,0.258,6,0,0.935,9,0,1,619.0,0.4,Paid
63,73791.79,15,1000.0,0.507,5,1,0.014,11,0,0,710.0,0.247,Paid
39,66452.63,31,19654.33,0.487,8,2,0.296,12,0,1,667.0,0.341,Paid
29,39082.8,37,19436.55,0.526,6,1,0.497,7,1,1,657.0,0.356,Paid
47,46439.24,8,9687.94,0.156,8,1,0.209,8,1,0,777.0,0.179,Paid
54,46377.14,37,16407.49,0.787,6,4,0.354,13,1,0,487.0,0.567,Default
64,62949.17,4,12570.24,0.331,4,1,0.2,8,1,0,699.0,0.254,Paid
24,79947.7,0,3540.28,0.899,2,2,0.044,4,0,0,501.0,0.493,Default
56,81067.46,34,8765.19,0.831,3,0,0.108,12,1,0,662.0,0.317,Paid
38,75816.46,34,35174.21,0.109,7,0,0.464,4,0,0,828.0,0.135,Paid
35,54158.25,11,17892.97,0.1,6,1,0.33,7,0,0,766.0,0.187,Paid
33,104402.25,35,2883.86,0.635,6,4,0.028,11,0,0,594.0,0.412,Paid
39,60664.41,20,3752.8,0.122,9,2,0.062,12,1,0,806.0,0.147,Paid
69,52223.81,7,30572.73,0.582,5,1,0.585,11,1,1,557.0,0.464,Default
26,32678.67,26,10106.35,0.124,9,1,0.309,2,0,0,808.0,0.16,Paid
68,53049.21,8,11262.73,0.496,1,4,0.212,10,1,1,520.0,0.466,Default
32,68775.47,27,22925.3,0.44,3,2,0.333,7,0,0,640.0,0.342,Paid
57,28275.21,29,11598.0,0.6,5,1,0.41,9,0,0,631.0,0.375,Paid
37,40917.77,13,9681.48,0.381,7,1,0.237,6,1,0,709.0,0.267,Paid
43,50653.18,22,17220.46,0.18,5,5,0.34,13,1,0,597.0,0.4,Paid
46,44492.2,28,7918.07,0.833,4,1,0.178,1,1,0,600.0,0.401,Paid
49,42842.56,25,10317.1,0.328,5,1,0.241,13,1,0,738.0,0.224,Paid
53,82492.28,21,30935.28,0.113,1,3,0.375,7,0,0,668.0,0.286,Paid
47,26986.41,14,6768.29,0.516,5,1,0.251,13,0,0,658.0,0.323,Paid
45,63507.4,8,12509.68,0.866,9,1,0.197,2,0,1,572.0,0.46,Default
30,70381.57,25,36367.51,0.311,3,2,0.517,7,0,0,638.0,0.349,Paid
67,50318.23,16,1000.0,0.469,6,3,0.02,9,1,1,647.0,0.332,Paid
43,55461.02,8,33992.39,0.424,9,2,0.613,3,0,0,581.0,0.458,Default
41,59189.06,2,20265.94,0.095,6,3,0.342,11,0,0,667.0,0.307,Paid
41,72686.13,15,19664.29,0.858,6,1,0.271,14,0,1,559.0,0.464,Default
63,90613.82,12,19510.15,0.756,6,0,0.215,5,1,0,634.0,0.363,Paid
33,34310.07,25,10691.61,0.139,7,1,0.312,8,0,0,791.0,0.169,Paid
57,41674.81,16,4951.14,0.173,6,2,0.119,11,1,0,756.0,0.193,Paid
53,42681.82,31,14738.72,0.06,8,3,0.345,2,0,0,745.0,0.236,Paid
44,59748.67,23,13872.14,0.967,2,0,0.232,14,0,0,570.0,0.43,Paid
64,52004.39,35,17266.16,0.437,8,1,0.332,9,0,0,722.0,0.274,Paid
31,73328.49,21,11962.72,0.915,4,3,0.163,11,0,0,485.0,0.543,Default
37,46870.16,8,23407.58,0.441,2,1,0.499,13,1,0,604.0,0.38,Paid
24,42234.99,21,23170.45,0.147,9,1,0.549,9,0,0,743.0,0.251,Paid
67,44737.25,19,1000.0,0.369,5,2,0.022,14,0,1,718.0,0.236,Paid
45,62313.78,2,1000.0,0.439,3,1,0.016,6,0,0,694.0,0.246,Paid
50,79278.46,35,7218.71,0.214,3,1,0.091,11,1,1,813.0,0.113,Paid
29,59111.3,32,1679.27,0.1,9,1,0.028,3,0,0,850.0,0.054,Paid
41,48836.77,17,25651.33,0.344,5,2,0.525,8,0,1,621.0,0.381,Paid
40,39379.26,35,8534.31,0.552,7,2,0.217,6,0,0,666.0,0.336,Paid
39,89232.68,9,20203.97,0.287,2,1,0.226,4,1,0,706.0,0.235,Paid
39,24780.7,35,13639.36,0.942,6,2,0.55,1,0,0,477.0,0.592,Default
32,56278.54,20,24082.47,0.498,1,0,0.428,13,0,0,660.0,0.307,Paid
57,74794.5,24,10641.14,0.171,8,2,0.142,9,0,0,778.0,0.183,Paid
62,56002.82,39,1000.0,0.435,1,2,0.018,13,0,1,719.0,0.221,Paid
37,48673.56,8,8067.1,0.708,3,1,0.166,14,0,0,595.0,0.387,Paid
57,70713.16,26,1000.0,0.503,6,0,0.014,8,1,0,778.0,0.173,Paid
68,38124.36,14,1000.0,0.358,8,1,0.026,13,0,1,765.0,0.193,Paid
59,25184.19,31,18399.14,0.149,1,1,0.731,13,0,0,686.0,0.287,Paid
48,67063.29,38,16941.34,0.477,4,1,0.253,10,0,0,712.0,0.261,Paid
61,40096.35,15,9289.44,0.141,3,3,0.232,14,0,0,686.0,0.266,Paid
55,62634.38,27,13286.28,0.395,1,3,0.212,11,0,0,628.0,0.338,Paid
67,57534.68,5,1000.0,0.158,5,0,0.017,8,0,0,834.0,0.078,Paid
68,65220.91,5,21757.79,0.679,8,5,0.334,11,0,0,430.0,0.632,Default
38,55458.4,37,12949.16,0.769,7,2,0.233,11,0,1,602.0,0.423,Paid
34,71030.37,1,20274.27,0.276,3,2,0.285,2,0,0,647.0,0.314,Paid
55,45929.03,39,19693.65,0.119,5,2,0.429,3,1,0,751.0,0.218,Paid
64,75624.77,6,17833.98,0.373,5,2,0.236,14,0,1,648.0,0.328,Paid
61,35647.53,26,5523.27,0.571,8,0,0.155,4,0,1,740.0,0.243,Paid
27,83452.48,27,17778.26,0.764,6,0,0.213,2,1,0,662.0,0.336,Paid
61,101032.92,15,19376.26,0.425,3,4,0.192,2,0,1,569.0,0.417,Paid
33,62162.23,8,8273.5,0.39,7,3,0.133,8,0,0,637.0,0.35,Paid
38,91383.47,14,18181.87,0.895,1,2,0.199,11,0,0,495.0,0.51,Default
57,96568.17,33,1000.0,0.468,2,1,0.01,4,1,0,743.0,0.194,Paid
33,53581.31,19,20490.22,0.466,7,4,0.382,13,1,0,547.0,0.483,Default
56,60957.3,13,18070.71,0.431,2,3,0.296,5,1,0,577.0,0.405,Paid
51,43717.65,10,29909.16,0.388,2,5,0.684,3,0,0,427.0,0.61,Default
22,45007.84,29,34230.98,0.727,7,4,0.761,1,0,0,413.0,0.681,Default
36,64657.4,2,12462.89,0.312,4,3,0.193,11,0,0,622.0,0.349,Paid
29,27283.44,1,20106.78,0.402,9,1,0.737,11,0,1,589.0,0.45,Paid
29,76695.67,13,18457.44,0.313,7,3,0.241,11,0,0,649.0,0.341,Paid
58,63345.7,28,12252.02,0.58,6,1,0.193,14,1,0,683.0,0.304,Paid
31,73626.64,4,1000.0,0.943,4,2,0.014,5,1,0,512.0,0.493,Default
42,56359.38,5,3643.87,0.413,8,1,0.065,8,0,0,723.0,0.245,Paid
53,73450.54,7,9663.78,0.95,5,3,0.132,7,0,0,458.0,0.576,Default
56,64952.91,38,17694.2,0.661,8,2,0.272,11,0,0,633.0,0.39,Paid
65,70144.5,38,28818.24,0.79,8,2,0.411,12,1,1,567.0,0.483,Default
43,78034.24,28,13977.04,0.36,9,1,0.179,1,0,1,767.0,0.212,Paid
65,34701.02,38,25403.25,0.259,9,4,0.732,14,1,0,587.0,0.467,Default
65,45938.51,26,29488.28,0.586,7,3,0.642,3,1,0,513.0,0.545,Default
54,106296.43,15,9272.44,0.971,7,2,0.087,7,1,0,526.0,0.505,Default
29,64145.45,26,1000.0,0.71,6,0,0.016,1,0,0,716.0,0.257,Paid
44,25664.05,38,15374.13,0.684,9,1,0.599,14,0,0,606.0,0.447,Paid
28,25775.15,39,1616.28,0.469,8,0,0.063,10,0,0,815.0,0.148,Paid
27,58500.17,0,33173.77,0.868,1,0,0.567,1,0,1,481.0,0.537,Default
56,49539.26,32,26660.63,0.698,8,0,0.538,13,0,0,637.0,0.397,Paid
38,43872.56,38,29090.16,0.678,2,2,0.663,7,0,0,520.0,0.514,Default
23,95862.9,26,1000.0,0.322,9,1,0.01,8,1,1,808.0,0.15,Paid
48,52617.74,16,11364.88,0.941,6,1,0.216,5,0,1,547.0,0.479,Default
26,76419.46,14,15532.94,0.283,5,3,0.203,13,0,0,657.0,0.316,Paid
64,65002.5,21,19017.47,0.537,7,1,0.293,9,1,0,667.0,0.331,Paid
64,54102.21,18,11389.85,0.366,4,2,0.211,8,0,0,674.0,0.293,Paid
41,37165.51,27,1000.0,0.218,9,1,0.027,14,0,0,838.0,0.111,Paid
48,75384.63,22,19624.23,0.184,8,0,0.26,11,1,0,827.0,0.128,Paid
60,15000.0,35,32668.82,0.322,1,1,1.5,11,0,0,488.0,0.579,Default
21,77413.55,38,35099.61,0.691,1,1,0.453,12,1,0,593.0,0.406,Paid
56,63025.71,19,12343.8,0.957,3,1,0.196,11,1,0,537.0,0.473,Default
41,72371.54,8,15785.32,0.844,8,2,0.218,8,0,0,529.0,0.507,Default
63,60155.26,22,4938.53,0.253,8,3,0.082,5,1,1,722.0,0.252,Paid
55,35313.12,6,15794.71,0.123,2,4,0.447,14,0,0,586.0,0.391,Paid
33,68030.93,30,10711.45,0.689,1,3,0.157,3,1,0,557.0,0.433,Paid
69,76978.0,10,9816.87,0.078,4,0,0.128,10,0,0,841.0,0.069,Paid
30,50417.02,39,1000.0,0.849,2,3,0.02,8,1,1,559.0,0.438,Paid
64,73147.84,16,30409.55,0.818,5,3,0.416,8,0,0,459.0,0.59,Default
67,65931.03,35,12565.88,0.788,7,1,0.191,2,0,0,640.0,0.372,Paid
30,69011.04,25,10216.1,0.564,5,2,0.148,12,0,1,646.0,0.34,Paid
66,42809.31,35,17243.77,0.955,1,1,0.403,10,1,1,518.0,0.503,Default
33,85643.25,17,9212.03,0.476,5,2,0.108,2,0,0,665.0,0.309,Paid
57,65920.62,30,1000.0,0.967,6,4,0.015,7,1,1,487.0,0.552,Default
58,76634.2,34,28055.1,0.87,9,1,0.366,13,1,0,589.0,0.46,Default
44,52237.0,27,15344.73,0.168,1,2,0.294,12,0,0,720.0,0.221,Paid
22,79645.82,25,22873.64,0.882,3,6,0.287,12,0,0,353.0,0.709,Default
42,51561.15,5,16936.12,0.334,5,0,0.328,7,1,1,719.0,0.242,Paid
37,42164.88,33,24487.43,0.764,1,0,0.581,1,0,1,576.0,0.434,Paid
56,95436.85,27,22020.07,0.05,7,0,0.231,9,0,0,850.0,0.055,Paid
34,15000.0,8,1000.0,0.307,1,3,0.067,4,1,0,646.0,0.297,Paid
30,119797.79,28,19483.06,0.755,3,0,0.163,9,0,0,662.0,0.315,Paid
55,74034.8,33,6069.01,0.954,1,2,0.082,11,0,0,538.0,0.46,Default
45,53703.82,11,6024.29,0.209,9,1,0.112,6,1,0,792.0,0.165,Paid
23,66521.52,15,1000.0,0.477,7,3,0.015,11,0,0,649.0,0.335,Paid
67,74046.63,6,33084.09,0.596,9,0,0.447,6,0,0,639.0,0.38,Paid
58,53351.0,30,13636.7,0.936,9,2,0.256,10,0,0,543.0,0.511,Default
37,100704.86,32,10837.88,0.472,9,1,0.108,8,0,1,756.0,0.227,Paid
32,89511.29,6,7344.58,0.918,5,1,0.082,8,1,0,555.0,0.45,Paid
44,114536.54,2,38472.25,0.96,7,2,0.336,11,1,0,454.0,0.601,Default
49,35571.17,19,25132.95,0.926,6,1,0.707,5,0,0,459.0,0.614,Default
63,64306.1,4,1000.0,0.746,6,0,0.016,8,0,0,661.0,0.315,Paid
45,32259.75,2,28640.99,0.167,3,2,0.888,6,1,1,561.0,0.449,Paid
56,38170.55,37,5812.08,0.61,6,1,0.152,1,0,0,700.0,0.286,Paid
46,53474.65,14,21574.79,0.751,6,2,0.403,13,1,0,522.0,0.513,Default
58,53836.43,34,10566.4,0.938,5,2,0.196,5,0,0,542.0,0.486,Default
21,67398.07,22,1000.0,0.774,4,1,0.015,7,0,0,639.0,0.34,Paid
40,57786.84,32,9847.9,0.551,5,2,0.17,4,0,0,660.0,0.328,Paid
48,75999.49,1,17411.72,0.241,7,3,0.229,10,1,0,649.0,0.333,Paid
36,66378.1,35,17573.88,0.475,4,4,0.265,10,1,1,585.0,0.419,Paid
67,92950.66,20,11497.21,0.644,9,0,0.124,8,1,1,717.0,0.275,Paid
37,76576.07,13,15533.12,0.352,4,1,0.203,8,1,1,710.0,0.246,Paid
60,36420.79,13,16322.9,0.474,9,5,0.448,13,0,0,489.0,0.568,Default
48,57090.24,10,24125.7,0.066,9,2,0.423,10,1,0,731.0,0.253,Paid
32,58439.78,3,28106.74,0.867,7,3,0.481,8,0,0,415.0,0.655,Default
47,68798.09,29,15018.69,0.082,7,1,0.218,8,0,0,835.0,0.11,Paid
62,81505.58,35,1764.0,0.431,1,2,0.022,8,0,0,711.0,0.229,Paid
67,65652.08,19,21402.16,0.525,2,1,0.326,8,1,0,635.0,0.34,Paid
50,71563.24,15,21829.58,0.954,3,5,0.305,3,0,0,348.0,0.713,Default
61,37315.46,33,23916.59,0.92,3,2,0.641,13,0,1,447.0,0.614,Default
54,50815.97,7,5408.03,0.651,3,4,0.106,1,0,0,502.0,0.498,Default
57,21757.56,19,23065.58,0.593,9,1,1.06,10,1,1,503.0,0.587,Default
26,68838.99,20,18163.68,0.391,2,2,0.264,1,0,1,650.0,0.316,Paid
27,76829.96,39,20797.27,0.088,1,1,0.271,8,1,0,812.0,0.108,Paid
52,33620.33,29,7347.62,0.299,1,1,0.219,3,0,0,740.0,0.197,Paid
52,63168.96,35,1000.0,0.838,6,3,0.016,7,0,1,575.0,0.44,Paid
45,57954.44,4,1371.72,0.653,7,1,0.024,10,0,1,652.0,0.33,Paid
53,93768.8,20,23832.28,0.807,2,2,0.254,4,1,0,527.0,0.479,Default
27,42112.6,37,32115.74,0.828,2,3,0.763,11,0,0,413.0,0.656,Default
32,78363.15,22,22802.99,0.108,8,3,0.291,11,1,0,723.0,0.256,Paid
36,82861.45,18,2745.61,0.364,7,1,0.033,6,0,0,765.0,0.189,Paid
36,56100.97,9,14562.02,0.679,4,2,0.26,12,0,0,552.0,0.451,Default
63,65849.94,26,17919.86,0.843,7,1,0.272,7,0,0,590.0,0.437,Paid
56,81549.14,34,15444.53,0.795,4,1,0.189,1,0,0,622.0,0.377,Paid
33,38009.94,12,16588.05,0.443,5,0,0.436,1,0,1,679.0,0.304,Paid
27,51456.99,8,4357.76,0.917,8,2,0.085,14,1,0,534.0,0.496,Default
56,63724.77,16,1000.0,0.33,4,2,0.016,8,0,1,720.0,0.225,Paid
67,101280.5,30,5182.03,0.399,7,3,0.051,7,1,1,695.0,0.285,Paid
29,52004.58,23,2554.24,0.219,2,2,0.049,3,0,0,751.0,0.176,Paid
52,54626.91,18,16141.52,0.261,2,2,0.295,11,0,0,679.0,0.277,Paid
31,90941.77,29,17314.13,0.058,9,3,0.19,10,0,1,777.0,0.192,Paid
28,73259.58,4,1237.4,0.337,8,5,0.017,8,1,0,594.0,0.402,Paid
53,103650.9,7,14158.72,0.335,3,2,0.137,10,0,1,671.0,0.281,Paid
43,81864.91,36,33454.64,0.113,7,2,0.409,3,0,0,761.0,0.216,Paid
45,57079.87,35,16422.84,0.367,1,0,0.288,2,1,0,757.0,0.183,Paid
28,54234.87,24,10691.76,0.33,4,1,0.197,12,1,0,739.0,0.213,Paid
65,43508.11,4,23676.38,0.793,4,0,0.544,2,1,1,531.0,0.493,Default
42,33899.51,32,38771.37,0.195,8,1,1.144,7,0,1,627.0,0.427,Paid
24,66816.31,21,17076.52,0.724,4,0,0.256,3,0,0,644.0,0.344,Paid
60,72538.88,24,9067.41,0.171,9,0,0.125,1,0,0,850.0,0.078,Paid
23,74948.02,28,16174.16,0.511,7,3,0.216,6,1,0,624.0,0.383,Paid
49,57530.45,29,28832.46,0.735,5,3,0.501,9,1,1,492.0,0.556,Default
61,98602.29,29,14256.7,0.614,8,4,0.145,4,0,0,575.0,0.451,Default
49,32831.1,30,15334.99,0.651,4,0,0.467,9,1,0,641.0,0.36,Paid
54,30566.61,33,29179.08,0.242,6,1,0.955,1,0,1,643.0,0.387,Paid
54,43607.57,27,16130.81,0.819,5,1,0.37,3,0,0,569.0,0.455,Default
48,60119.08,9,32202.52,0.935,3,0,0.536,11,1,0,495.0,0.537,Default
33,38057.68,3,1027.61,0.194,8,4,0.027,8,1,0,673.0,0.3,Paid
35,86938.78,32,19577.77,0.876,6,2,0.225,11,1,0,556.0,0.474,Default
43,45220.69,16,34749.41,0.42,4,1,0.768,11,1,0,582.0,0.436,Paid
64,41649.2,10,39595.44,0.7,1,1,0.951,8,0,0,435.0,0.615,Default
46,81101.58,6,10887.7,0.521,1,1,0.134,11,1,0,644.0,0.307,Paid
24,64148.72,16,12347.87,0.788,3,1,0.192,6,1,0,582.0,0.411,Paid
46,75694.02,27,34425.1,0.092,8,1,0.455,14,0,0,785.0,0.189,Paid
60,59048.16,16,11555.93,0.351,8,0,0.196,6,1,1,778.0,0.187,Paid
29,65435.07,9,9839.26,0.094,2,3,0.15,6,0,0,700.0,0.235,Paid
25,31329.01,25,10038.79,0.926,1,3,0.32,10,1,1,443.0,0.586,Default
52,57043.19,5,6173.32,0.208,5,1,0.108,6,1,0,761.0,0.176,Paid
40,39038.88,16,4327.87,0.445,1,2,0.111,12,0,0,651.0,0.299,Paid
31,99087.83,15,13120.45,0.647,8,1,0.132,3,0,0,660.0,0.338,Paid
35,85856.43,38,1000.0,0.479,9,1,0.012,2,0,0,785.0,0.189,Paid
52,46921.53,25,8978.92,0.549,2,2,0.191,5,1,0,627.0,0.347,Paid
48,55848.89,3,30754.29,0.24,4,1,0.551,6,1,1,654.0,0.325,Paid
42,56791.62,19,23901.12,0.112,6,1,0.421,3,1,0,760.0,0.203,Paid
61,103079.13,10,9407.96,0.289,7,2,0.091,8,0,0,720.0,0.243,Paid
37,67927.97,22,17632.77,0.345,5,0,0.26,7,0,0,764.0,0.192,Paid
46,51442.65,32,14093.63,0.437,1,0,0.274,12,0,0,733.0,0.213,Paid
64,62933.7,30,7501.89,0.325,7,2,0.119,4,0,0,744.0,0.226,Paid
27,29260.18,6,1000.0,0.083,7,0,0.034,14,0,0,850.0,0.052,Paid
62,58526.53,21,6108.08,0.138,5,0,0.104,12,1,0,850.0,0.065,Paid
46,38382.12,4,11995.9,0.677,2,1,0.313,11,0,0,562.0,0.426,Paid
45,23046.68,36,40027.48,0.109,2,0,1.5,14,1,0,599.0,0.441,Paid
30,99731.48,0,21288.8,0.093,9,3,0.213,1,1,1,704.0,0.271,Paid
65,59460.14,5,14044.48,0.805,9,3,0.236,8,0,0,496.0,0.553,Default
39,44568.27,3,20100.31,0.088,4,5,0.451,14,1,1,559.0,0.435,Paid
31,26056.41,29,17558.55,0.114,4,1,0.674,1,0,0,719.0,0.26,Paid
33,55577.68,29,8063.68,0.561,7,2,0.145,5,0,0,666.0,0.33,Paid
28,57016.47,16,14456.73,0.462,5,2,0.254,5,1,0,638.0,0.349,Paid
60,75301.03,23,11511.67,0.947,1,0,0.153,13,0,0,586.0,0.399,Paid
24,40923.32,30,1000.0,0.921,5,1,0.024,11,1,0,614.0,0.386,Paid
67,49324.84,27,9428.93,0.664,4,2,0.191,7,1,0,607.0,0.389,Paid
51,41508.17,3,14063.34,0.117,3,2,0.339,2,0,1,688.0,0.262,Paid
48,55639.0,38,19502.47,0.518,1,2,0.351,5,1,1,626.0,0.356,Paid
31,20140.12,18,15371.47,0.092,9,1,0.763,14,0,1,711.0,0.3,Paid
63,43915.98,23,24703.34,0.894,4,2,0.563,8,1,0,455.0,0.601,Default
